sim_no,UHI_d,asphalt_ratio,park_grass_ratio,parcel_grass_ratio,podium_grass_ratio,GnPR,TCR,greenroof_ratio,SCR,parcel_fp_ratio,podium_fp_ratio,tower_GFA,podium_GFA,total_GFA,avg_BH,avg_GPR,parcelArea,parkLocation,parkRadius,roadDensity,bldDensity,podiumDensity,treeDensity,roofType
0,0.163756,0.134203,0.034899,0.77073,0,0.805629,0,0,0.060168,0.060168,0,1687300,0,1687300,73.1,1.738649,2,0,100,0.3,3,0,0,0
1,0.158687,0.09955,0,0.851438,0,0.851438,0,0,0.049013,0.049013,0,1738400,0,1738400,88.7,1.630876,3,0,100,0.3,3,0,0,0
2,0.145582,0.044727,0,0.919077,0,0.919077,0,0,0.036195,0.036195,0,1466900,0,1466900,99.2,1.390217,4,0,100,0.3,3,0,0,0
3,0.13911,0.058153,0,0.910829,0,0.910829,0,0,0.031024,0.031024,0,1315800,0,1315800,101,1.262646,5,0,100,0.3,3,0,0,0
4,0.121279,0.048316,0.079221,0.853758,0,0.932979,0,0,0.018705,0.018705,0,822494.2439,0,822494.2439,105.4,0.846786,6,0,100,0.3,3,0,0,0
5,0.167192,0.134203,0.017184,0.784432,0,0.801616,0,0,0.064181,0.064181,0,1745000,0,1745000,72.1,1.731134,2,42,100,0.3,3,0,0,0
6,0.159954,0.09955,0,0.851438,0,0.851438,0,0,0.049013,0.049013,0,1742100,0,1742100,92.4,1.673691,3,42,100,0.3,3,0,0,0
7,0.145274,0.044727,0,0.919077,0,0.919077,0,0,0.036195,0.036195,0,1422500,0,1422500,98.1,1.306011,4,42,100,0.3,3,0,0,0
8,0.137158,0.058153,0,0.910829,0,0.910829,0,0,0.031024,0.031024,0,1204400,0,1204400,92.7,1.136298,5,42,100,0.3,3,0,0,0
9,0.124429,0.048316,0,0.931001,0,0.931001,0,0,0.020683,0.020683,0,841525.6219,0,841525.6219,102.2,0.798502,6,42,100,0.3,3,0,0,0
10,0.168676,0.134203,0.020337,0.78025,0,0.800587,0,0,0.06521,0.06521,0,1807700,0,1807700,73,1.791107,2,72,100,0.3,3,0,0,0
11,0.158368,0.09955,0,0.851438,0,0.851438,0,0,0.049013,0.049013,0,1714600,0,1714600,88.4,1.649197,3,72,100,0.3,3,0,0,0
12,0.145445,0.044727,0,0.919077,0,0.919077,0,0,0.036195,0.036195,0,1470600,0,1470600,98.7,1.345151,4,72,100,0.3,3,0,0,0
13,0.136553,0.058153,0.048911,0.864069,0,0.91298,0,0,0.028874,0.028874,0,1232800,0,1232800,103.6,1.213973,5,72,100,0.3,3,0,0,0
14,0.121906,0.048316,0.093059,0.83992,0,0.932979,0,0,0.018705,0.018705,0,816476.739,0,816476.739,108.4,0.855216,6,72,100,0.3,3,0,0,0
15,0.164372,0.134203,0.034899,0.770071,0,0.80497,0,0,0.060827,0.060827,0,1699500,0,1699500,72.9,1.754437,2,0,150,0.3,3,0,0,0
16,0.154041,0.09955,0.076933,0.77935,0,0.856283,0,0,0.044168,0.044168,0,1622300,0,1622300,92.3,1.703221,3,0,150,0.3,3,0,0,0
17,0.141632,0.044727,0.079221,0.843985,0,0.923206,0,0,0.032067,0.032067,0,1396600,0,1396600,107,1.435762,4,0,150,0.3,3,0,0,0
18,0.136358,0.058153,0.032606,0.880373,0,0.912979,0,0,0.028874,0.028874,0,1251200,0,1251200,102.6,1.214339,5,0,150,0.3,3,0,0,0
19,0.121279,0.048316,0.079221,0.853758,0,0.932979,0,0,0.018705,0.018705,0,822494.2439,0,822494.2439,105.4,0.846786,6,0,150,0.3,3,0,0,0
20,0.167888,0.134203,0.043345,0.758722,0,0.802067,0,0,0.063729,0.063729,0,1736700,0,1736700,74,1.793073,2,42,150,0.3,3,0,0,0
21,0.155342,0.09955,0.079094,0.776969,0,0.856063,0,0,0.044387,0.044387,0,1657500,0,1657500,95.4,1.780353,3,42,150,0.3,3,0,0,0
22,0.141039,0.044727,0.101173,0.822033,0,0.923206,0,0,0.032067,0.032067,0,1353200,0,1353200,104.2,1.412751,4,42,150,0.3,3,0,0,0
23,0.134418,0.058153,0.124679,0.790278,0,0.914957,0,0,0.026896,0.026896,0,1218200,0,1218200,107.1,1.336509,5,42,150,0.3,3,0,0,0
24,0.120559,0.048316,0.126932,0.808369,0,0.935301,0,0,0.016383,0.016383,0,719882.0363,0,719882.0363,109.2,0.773022,6,42,150,0.3,3,0,0,0
25,0.1671,0.134203,0.039873,0.763642,0,0.803515,0,0,0.062282,0.062282,0,1743600,0,1743600,75.1,1.760152,2,72,150,0.3,3,0,0,0
26,0.154874,0.09955,0.061917,0.793649,0,0.855566,0,0,0.044885,0.044885,0,1634700,0,1634700,92.5,1.719913,3,72,150,0.3,3,0,0,0
27,0.141724,0.044727,0.040743,0.880485,0,0.921228,0,0,0.034045,0.034045,0,1343900,0,1343900,96.5,1.287132,4,72,150,0.3,3,0,0,0
28,0.133847,0.058153,0.093067,0.82189,0,0.914957,0,0,0.026896,0.026896,0,1130200,0,1130200,103.4,1.189649,5,72,150,0.3,3,0,0,0
29,0.121906,0.048316,0.093059,0.83992,0,0.932979,0,0,0.018705,0.018705,0,816476.739,0,816476.739,108.4,0.855216,6,72,150,0.3,3,0,0,0
30,0.164292,0.134203,0.07787,0.729866,0,0.807736,0,0,0.058061,0.058061,0,1747800,0,1747800,78.2,1.900904,2,0,200,0.3,3,0,0,0
31,0.154041,0.09955,0.076933,0.77935,0,0.856283,0,0,0.044168,0.044168,0,1622300,0,1622300,92.3,1.703221,3,0,200,0.3,3,0,0,0
32,0.141632,0.044727,0.079221,0.843985,0,0.923206,0,0,0.032067,0.032067,0,1396600,0,1396600,107,1.435762,4,0,200,0.3,3,0,0,0
33,0.133162,0.058153,0.075079,0.839878,0,0.914957,0,0,0.026896,0.026896,0,1134400,0,1134400,99.8,1.17374,5,0,200,0.3,3,0,0,0
34,0.121279,0.048316,0.079221,0.853758,0,0.932979,0,0,0.018705,0.018705,0,822494.2439,0,822494.2439,105.4,0.846786,6,0,200,0.3,3,0,0,0
35,0.16492,0.134203,0.083967,0.722023,0,0.80599,0,0,0.059806,0.059806,0,1751500,0,1751500,75.8,1.884425,2,42,200,0.3,3,0,0,0
36,0.152888,0.09955,0.101552,0.756489,0,0.858041,0,0,0.042409,0.042409,0,1594500,0,1594500,95.3,1.76152,3,42,200,0.3,3,0,0,0
37,0.141039,0.044727,0.101173,0.822033,0,0.923206,0,0,0.032067,0.032067,0,1353200,0,1353200,104.2,1.412751,4,42,200,0.3,3,0,0,0
38,0.134418,0.058153,0.124679,0.790278,0,0.914957,0,0,0.026896,0.026896,0,1218200,0,1218200,107.1,1.336509,5,42,200,0.3,3,0,0,0
39,0.120559,0.048316,0.126932,0.808369,0,0.935301,0,0,0.016383,0.016383,0,719882.0363,0,719882.0363,109.2,0.773022,6,42,200,0.3,3,0,0,0
40,0.165023,0.134203,0.088338,0.718333,0,0.806671,0,0,0.059125,0.059125,0,1748300,0,1748300,77.4,1.854958,2,72,200,0.3,3,0,0,0
41,0.155765,0.09955,0.088346,0.768263,0,0.856609,0,0,0.043842,0.043842,0,1692600,0,1692600,98.3,1.83831,3,72,200,0.3,3,0,0,0
42,0.140742,0.044727,0.093058,0.830147,0,0.923205,0,0,0.032067,0.032067,0,1362700,0,1362700,102.6,1.38589,4,72,200,0.3,3,0,0,0
43,0.133847,0.058153,0.093067,0.82189,0,0.914957,0,0,0.026896,0.026896,0,1130200,0,1130200,103.4,1.189649,5,72,200,0.3,3,0,0,0
44,0.121906,0.048316,0.093059,0.83992,0,0.932979,0,0,0.018705,0.018705,0,816476.739,0,816476.739,108.4,0.855216,6,72,200,0.3,3,0,0,0
45,0.164292,0.134203,0.07787,0.729866,0,0.807736,0,0,0.058061,0.058061,0,1747800,0,1747800,78.2,1.900904,2,0,250,0.3,3,0,0,0
46,0.154041,0.09955,0.076933,0.77935,0,0.856283,0,0,0.044168,0.044168,0,1622300,0,1622300,92.3,1.703221,3,0,250,0.3,3,0,0,0
47,0.141632,0.044727,0.079221,0.843985,0,0.923206,0,0,0.032067,0.032067,0,1396600,0,1396600,107,1.435762,4,0,250,0.3,3,0,0,0
48,0.133162,0.058153,0.075079,0.839878,0,0.914957,0,0,0.026896,0.026896,0,1134400,0,1134400,99.8,1.17374,5,0,250,0.3,3,0,0,0
49,0.121279,0.048316,0.079221,0.853758,0,0.932979,0,0,0.018705,0.018705,0,822494.2439,0,822494.2439,105.4,0.846786,6,0,250,0.3,3,0,0,0
50,0.162957,0.134203,0.134371,0.675713,0,0.810084,0,0,0.055714,0.055714,0,1665600,0,1665600,80.8,1.92305,2,42,250,0.3,3,0,0,0
51,0.151279,0.09955,0.127706,0.732314,0,0.86002,0,0,0.04043,0.04043,0,1566700,0,1566700,97.8,1.767505,3,42,250,0.3,3,0,0,0
52,0.140251,0.044727,0.135935,0.788313,0,0.924248,0,0,0.031024,0.031024,0,1376300,0,1376300,106.6,1.48757,4,42,250,0.3,3,0,0,0
53,0.134418,0.058153,0.124679,0.790278,0,0.914957,0,0,0.026896,0.026896,0,1218200,0,1218200,107.1,1.336509,5,42,250,0.3,3,0,0,0
54,0.120559,0.048316,0.126932,0.808369,0,0.935301,0,0,0.016383,0.016383,0,719882.0363,0,719882.0363,109.2,0.773022,6,42,250,0.3,3,0,0,0
55,0.164463,0.134203,0.088338,0.718993,0,0.807331,0,0,0.058466,0.058466,0,1735400,0,1735400,77.7,1.837365,2,72,250,0.3,3,0,0,0
