GnPR,treeDensity,park_grass_ratio,parcel_grass_ratio,greenroof_ratio,roadDensity,bldDensity,avg_BH,avg_GPR,UHI_d
0.805629,0,0.034899,0.77073,0.0,0.3,3,73.1,1.738649,0.163756
0.851438,0,0.0,0.851438,0.0,0.3,3,88.7,1.630876,0.158687
0.919077,0,0.0,0.919077,0.0,0.3,3,99.2,1.390217,0.145582
0.910829,0,0.0,0.910829,0.0,0.3,3,101.0,1.262646,0.13911
0.932979,0,0.079221,0.853758,0.0,0.3,3,105.4,0.846786,0.121279
0.801616,0,0.017184,0.784432,0.0,0.3,3,72.1,1.731134,0.167192
0.851438,0,0.0,0.851438,0.0,0.3,3,92.4,1.673691,0.159954
0.919077,0,0.0,0.919077,0.0,0.3,3,98.1,1.306011,0.145274
0.910829,0,0.0,0.910829,0.0,0.3,3,92.7,1.136298,0.137158
0.931001,0,0.0,0.931001,0.0,0.3,3,102.2,0.798502,0.124429
0.800587,0,0.020337,0.78025,0.0,0.3,3,73.0,1.791107,0.168676
0.851438,0,0.0,0.851438,0.0,0.3,3,88.4,1.649197,0.158368
0.919077,0,0.0,0.919077,0.0,0.3,3,98.7,1.345151,0.145445
0.91298,0,0.048911,0.864069,0.0,0.3,3,103.6,1.213973,0.136553
0.932979,0,0.093059,0.83992,0.0,0.3,3,108.4,0.855216,0.121906
0.80497,0,0.034899,0.770071,0.0,0.3,3,72.9,1.754437,0.164372
0.856283,0,0.076933,0.77935,0.0,0.3,3,92.3,1.703221,0.154041
0.923206,0,0.079221,0.843985,0.0,0.3,3,107.0,1.435762,0.141632
0.912979,0,0.032606,0.880373,0.0,0.3,3,102.6,1.214339,0.136358
0.802067,0,0.043345,0.758722,0.0,0.3,3,74.0,1.793073,0.167888
0.856063,0,0.079094,0.776969,0.0,0.3,3,95.4,1.780353,0.155342
0.923206,0,0.101173,0.822033,0.0,0.3,3,104.2,1.412751,0.141039
0.914957,0,0.124679,0.790278,0.0,0.3,3,107.1,1.336509,0.134418
0.935301,0,0.126932,0.808369,0.0,0.3,3,109.2,0.773022,0.120559
0.803515,0,0.039873,0.763642,0.0,0.3,3,75.1,1.760152,0.1671
0.855566,0,0.061917,0.793649,0.0,0.3,3,92.5,1.719913,0.154874
0.921228,0,0.040743,0.880485,0.0,0.3,3,96.5,1.287132,0.141724
0.914957,0,0.093067,0.82189,0.0,0.3,3,103.4,1.189649,0.133847
0.807736,0,0.07787,0.729866,0.0,0.3,3,78.2,1.900904,0.164292
0.914957,0,0.075079,0.839878,0.0,0.3,3,99.8,1.17374,0.133162
0.80599,0,0.083967,0.722023,0.0,0.3,3,75.8,1.884425,0.16492
0.858041,0,0.101552,0.756489,0.0,0.3,3,95.3,1.76152,0.152888
0.806671,0,0.088338,0.718333,0.0,0.3,3,77.4,1.854958,0.165023
0.856609,0,0.088346,0.768263,0.0,0.3,3,98.3,1.83831,0.155765
0.923205,0,0.093058,0.830147,0.0,0.3,3,102.6,1.38589,0.140742
0.810084,0,0.134371,0.675713,0.0,0.3,3,80.8,1.92305,0.162957
0.86002,0,0.127706,0.732314,0.0,0.3,3,97.8,1.767505,0.151279
0.924248,0,0.135935,0.788313,0.0,0.3,3,106.6,1.48757,0.140251
0.807331,0,0.088338,0.718993,0.0,0.3,3,77.7,1.837365,0.164463
0.812828,0,0.173354,0.639474,0.0,0.3,3,85.2,2.09403,0.162009
0.723208,0,0.029264,0.693944,0.0,0.8,3,74.4,1.781668,0.161221
0.782211,0,0.0,0.782211,0.0,0.8,3,87.0,1.770751,0.160228
0.840461,0,0.0,0.840461,0.0,0.8,3,104.8,1.59505,0.148219
0.857583,0,0.0,0.857583,0.0,0.8,3,104.1,1.358402,0.140411
0.887122,0,0.076934,0.810188,0.0,0.8,3,111.1,1.022758,0.125902
0.720513,0,0.017183,0.70333,0.0,0.8,3,71.0,1.693303,0.162055
0.782211,0,0.0,0.782211,0.0,0.8,3,91.5,1.832803,0.161929
0.840461,0,0.0,0.840461,0.0,0.8,3,98.9,1.443921,0.14661
0.857583,0,0.0,0.857583,0.0,0.8,3,99.6,1.263498,0.139395
0.886079,0,0.0,0.886079,0.0,0.8,3,104.7,0.892863,0.126735
0.719331,0,0.015661,0.70367,0.0,0.8,3,72.7,1.810558,0.164452
0.782927,0,0.0,0.782927,0.0,0.8,3,93.2,1.923149,0.162032
